time_ms,target_speed,measured_speed,pwm,motion_flag,host_monotonic,frame_index,host_time
4.0,0.0,0.0,0.0,127.0,1324.829090985,1,2026-05-21T02:12:13.790030+00:00
65.0,0.0,0.0,0.0,127.0,1324.840260731,2,2026-05-21T02:12:13.801207+00:00
126.0,0.0,0.0,0.0,127.0,1324.851441693,3,2026-05-21T02:12:13.812387+00:00
187.0,0.0,0.0,0.0,127.0,1324.862660889,4,2026-05-21T02:12:13.823597+00:00
249.0,0.0,0.0,0.0,127.0,1324.874114305,5,2026-05-21T02:12:13.835056+00:00
310.0,0.0,0.0,0.0,127.0,1324.885309476,6,2026-05-21T02:12:13.846249+00:00
371.0,0.0,0.0,0.0,127.0,1324.89672609,7,2026-05-21T02:12:13.857664+00:00
433.0,0.0,0.0,0.0,127.0,1324.908637744,8,2026-05-21T02:12:13.869566+00:00
496.0,0.0,0.0,0.0,127.0,1324.920803119,9,2026-05-21T02:12:13.881731+00:00
558.0,0.0,0.0,0.0,127.0,1324.933723794,10,2026-05-21T02:12:13.894653+00:00
623.0,0.0,0.0,0.0,127.0,1324.947822928,11,2026-05-21T02:12:13.908746+00:00
685.0,0.0,0.0,0.0,127.0,1324.960092578,12,2026-05-21T02:12:13.921021+00:00
747.0,0.0,0.0,0.0,127.0,1324.972279171,13,2026-05-21T02:12:13.933197+00:00
811.0,0.0,0.0,0.0,127.0,1324.985774734,14,2026-05-21T02:12:13.946710+00:00
873.0,0.0,0.0,0.0,127.0,1324.998269353,15,2026-05-21T02:12:13.959189+00:00
936.0,0.0,0.0,0.0,127.0,1325.010722605,16,2026-05-21T02:12:13.971657+00:00
997.0,0.0,0.0,0.0,127.0,1325.0226116,17,2026-05-21T02:12:13.983544+00:00
1060.0,0.0,0.0,0.0,127.0,1325.034859443,18,2026-05-21T02:12:13.995790+00:00
1122.0,0.0,0.0,0.0,127.0,1325.046796314,19,2026-05-21T02:12:14.007722+00:00
1184.0,0.0,0.0,0.0,127.0,1325.059263706,20,2026-05-21T02:12:14.020205+00:00
1246.0,0.0,0.0,0.0,127.0,1325.07099233,21,2026-05-21T02:12:14.031923+00:00
1308.0,0.0,0.0,0.0,127.0,1325.083519617,22,2026-05-21T02:12:14.044465+00:00
1370.0,0.0,0.0,0.0,127.0,1325.09550606,23,2026-05-21T02:12:14.056437+00:00
1432.0,0.0,0.0,0.0,127.0,1325.106863263,24,2026-05-21T02:12:14.067793+00:00
1494.0,0.0,0.0,0.0,127.0,1325.119058482,25,2026-05-21T02:12:14.079993+00:00
1555.0,0.0,0.0,0.0,127.0,1325.130650149,26,2026-05-21T02:12:14.091586+00:00
1617.0,0.0,0.0,0.0,127.0,1325.14271778,27,2026-05-21T02:12:14.103647+00:00
1680.0,0.0,0.0,0.0,127.0,1325.154915243,28,2026-05-21T02:12:14.115844+00:00
1742.0,0.0,0.0,0.0,127.0,1325.16719209,29,2026-05-21T02:12:14.128122+00:00
1805.0,0.0,0.0,0.0,127.0,1325.179808966,30,2026-05-21T02:12:14.140741+00:00
1868.0,0.0,0.0,0.0,127.0,1325.193054414,31,2026-05-21T02:12:14.153982+00:00
